date,price,atr,tp,sl,result
2024-07-08,128.1595001220703,5.6251612391103984,161.9104675567327,111.28401640473912,HOLD
2024-07-09,131.33851623535156,5.624425292770734,165.08506799197596,114.46524035703936,HOLD
2024-07-10,134.86740112304688,5.428429889498629,167.43798046003863,118.582111454551,SL
2024-07-11,127.35977172851562,5.7942673183311095,162.12537563850228,109.9769697735223,SL
2024-07-12,129.19918823242188,5.68800603838879,163.3272244627546,112.13517011725551,SL
2024-07-15,128.39944458007812,5.548120407146754,161.68816702295862,111.75508335863788,SL
2024-07-16,126.3200912475586,5.447423278329074,159.00463091753304,109.97782141257137,SL
2024-07-17,117.95272827148438,5.826666484500195,152.91272717848554,100.47272881798379,HOLD
2024-07-18,121.0517578125,5.8276873830182705,156.01788211060963,103.56869566344518,SL
2024-07-19,117.89276123046875,5.688081541219213,152.02125047778404,100.8285166068111,HOLD
2024-07-22,123.50098419189453,5.726753159711262,157.8615031501621,106.32072471276075,SL
2024-07-23,122.55128479003906,5.46096156775215,155.31705419655196,106.16840008678261,SL
2024-07-24,114.21391296386719,5.769131485202291,148.82870187508092,96.90651850826032,SL
2024-07-25,112.24453735351562,6.145573657155264,149.1179792964472,93.80781638204984,SL
2024-07-26,113.0242919921875,6.0208386222894905,149.14932372592446,94.96177612531902,SL
2024-07-29,111.55475616455078,5.936554011147106,147.1740802314334,93.74509413110947,SL
2024-07-30,103.6972427368164,6.217741834864348,141.00369374600248,85.04401723222337,HOLD
2024-07-31,116.98303985595703,6.883816067512287,158.28593626103077,96.33159165342016,SL
2024-08-01,109.1755142211914,7.392906635850561,153.53295403629477,86.99679431363973,HOLD
2024-08-02,107.23611450195312,7.427679466949885,151.80219130365245,84.95307610110346,HOLD
2024-08-05,100.41827392578125,8.138231384070886,149.24766223020657,76.00357977356859,HOLD
2024-08-06,104.21707153320312,8.070256298802278,152.6386093260168,80.00630263679629,HOLD
2024-08-07,98.87876892089844,8.226572412575623,148.2382033963522,74.19905168317156,HOLD
2024-08-08,104.93685150146484,8.207554803780845,154.1821803241499,80.31418709012232,HOLD
2024-08-09,104.71692657470703,7.824751385394141,151.66543488707185,81.24267241852462,HOLD
2024-08-12,108.98556518554688,7.710793882556035,155.2503284808831,85.85318353787876,HOLD
2024-08-13,116.10331726074219,7.672905715021677,162.14075155087224,93.08460011567716,HOLD
2024-08-14,118.04270935058594,7.437008277569286,162.66475901600165,95.73168451787808,HOLD
2024-08-15,122.82119750976562,7.312255859294313,166.6947326655315,100.88442993188269,HOLD
2024-08-16,124.54065704345703,7.05197033722614,166.85247906681386,103.38474603177862,HOLD
2024-08-19,129.9589385986328,7.016759162107669,172.05949357127884,108.9086611123098,SL
2024-08-20,127.2098159790039,6.801368055922097,168.0180243145365,106.80571181123761,SL
2024-08-21,128.4594268798828,6.497590876189266,167.44497213701842,108.966654251315,SL
2024-08-22,123.70092010498047,6.582336124138172,163.1949368498095,103.95391173256596,SL
2024-08-23,129.32913208007812,6.529090037662822,168.50367230605508,109.74186196708965,SL
2024-08-26,126.42005920410156,6.555410311840712,165.75252107514584,106.75382826857943,SL
2024-08-27,128.25949096679688,6.464819030248754,167.0484051482894,108.86503387605062,SL
2024-08-28,125.5703353881836,6.408050393284618,164.0186377478913,106.34618420832975,SL
2024-08-29,117.55286407470703,6.589697586216316,157.0910495920049,97.7837713160581,HOLD
2024-08-30,119.33230590820312,6.439517239624552,157.96940934595045,100.01375418932946,HOLD
2024-09-03,107.96588897705078,6.849634674284223,149.06369702275612,87.41698495419811,HOLD
2024-09-04,106.17645263671875,7.0165736182852685,148.27589434643036,85.12673178186294,HOLD
2024-09-05,107.17613983154297,6.862130555373685,148.3489231637851,86.58974816542191,HOLD
2024-09-06,102.79752349853516,6.886458078635097,144.11627197034574,82.13814926262987,HOLD
2024-09-09,106.43637084960938,6.657080762958402,146.3788554273598,86.46512856073416,HOLD
2024-09-10,108.06585693359375,6.497315632402244,147.0497507280072,88.57391003638702,HOLD
2024-09-11,116.87307739257812,6.733628215496903,157.27484668555954,96.67219274608742,HOLD
2024-09-12,119.11256408691406,6.637953424105146,158.94028463154493,99.19870381459863,HOLD
2024-09-13,119.07256317138672,6.3292267560516855,157.04792370769684,100.08488290323166,HOLD
2024-09-16,116.75309753417969,6.21455643136537,154.0404361223719,98.10942824008359,HOLD
2024-09-17,115.5633773803711,6.05275594778204,151.87991306706334,97.40510953702497,HOLD
2024-09-18,113.3438949584961,5.939425295527001,148.9804467316581,95.52561907191509,HOLD
2024-09-19,117.84284973144531,5.964551067298109,153.63015613523396,99.94919652955099,HOLD
2024-09-20,115.97328186035156,5.767800496268406,150.580084837962,98.66988037154634,HOLD
2024-09-23,116.23323059082031,5.506227903592737,149.27059801237672,99.7145468800421,HOLD
2024-09-24,120.8421630859375,5.5717864857416695,154.2728820003875,104.1268036287125,HOLD
2024-09-25,123.48155975341797,5.463846514475795,156.26463884027274,107.09002020999058,HOLD
2024-09-26,124.01143646240234,5.492911323335415,156.96890440241484,107.5327024923961,HOLD
2024-09-27,121.3720474243164,5.441663385325222,154.02202773626775,105.04705726834074,HOLD
2024-09-30,121.41203308105469,5.291532226159078,153.16122643800915,105.53743640257746,HOLD
2024-10-01,116.97305297851562,5.3888605251422526,149.30621612936915,100.80647140308886,HOLD
2024-10-02,118.82262420654297,5.306411217463926,150.66109151132653,102.90339055415119,HOLD
2024-10-03,122.82170867919922,5.320915127536894,154.74719944442057,106.85896329658854,HOLD
2024-10-04,124.89122772216797,5.169579426181872,155.90870427925918,109.38248944362236,HOLD
