date,price,atr,tp,sl,result
2024-07-08,252.94000244140625,11.03508753556692,308.1154401192408,230.86982737027242,HOLD
2024-07-09,262.3299865722656,11.490171435323255,319.78084374888186,239.3496437016191,SL
2024-07-10,263.260009765625,11.30913463552596,319.8056829432548,240.64174049457307,SL
2024-07-11,241.02999877929688,13.307588057045539,307.5679390645246,214.4148226652058,HOLD
2024-07-12,248.22999572753906,13.835368256147392,317.406837008276,220.55925921524425,SL
2024-07-15,252.63999938964844,14.169603024153746,323.48801451041714,224.30079334134095,SL
2024-07-16,256.55999755859375,14.044869421675392,326.78434466697075,228.47025871524295,SL
2024-07-17,248.5,13.886016700373387,317.93008350186693,220.72796659925322,SL
2024-07-18,249.22999572753906,13.535510963944633,316.90755054726225,222.1589737996498,SL
2024-07-19,239.1999969482422,13.454707686767081,306.4735353820776,212.29058157470803,SL
2024-07-22,251.50999450683594,13.502431525802274,319.0221521358473,224.50513145523138,SL
2024-07-23,246.3800048828125,13.216743066197022,312.46372021379767,219.94651875041845,SL
2024-07-24,215.99000549316406,14.759473302631978,289.78737200632395,186.4710588879001,SL
2024-07-25,220.25,14.367182614880598,292.085913074403,191.51563477023882,SL
2024-07-26,219.8000030517578,13.76131480764432,288.6065770899794,192.27737343646916,SL
2024-07-29,232.10000610351562,13.818615715177977,301.1930846794055,204.4627746731597,SL
2024-07-30,222.6199951171875,13.705785846710622,291.14892435074063,195.20842342376625,SL
2024-07-31,232.07000732421875,13.575091465555008,299.94546465199375,204.91982439310874,SL
2024-08-01,216.86000061035156,13.90321384250453,286.3760698228742,189.0535729253425,SL
2024-08-02,207.6699981689453,13.682417836792375,276.0820873529072,180.30516249536055,HOLD
2024-08-05,198.8800048828125,14.613622593515927,271.9481178503921,169.65275969578065,HOLD
2024-08-06,200.63999938964844,14.275214779485953,272.0160732870782,172.08956983067654,HOLD
2024-08-07,191.75999450683594,14.10134831283071,262.2667360709895,163.55729788117452,HOLD
2024-08-08,198.83999633789062,13.707286770913365,267.37643019245746,171.42542279606388,HOLD
2024-08-09,200.0,13.104253291354512,265.5212664567726,173.79149341729095,HOLD
2024-08-12,197.49000549316406,12.51627913000707,260.0714011431994,172.4574472331499,HOLD
2024-08-13,207.8300018310547,12.434467194450663,270.002337803308,182.96106744215336,HOLD
2024-08-14,201.3800048828125,12.22856939300414,262.5228518478332,176.92286609680423,HOLD
2024-08-15,214.13999938964844,12.398368464704381,276.13184171317033,189.34326246023966,HOLD
2024-08-16,216.1199951171875,12.145168069381716,276.84583546409607,191.82965897842405,HOLD
2024-08-19,222.72000122070312,11.903381175236055,282.2369070968834,198.91323887023103,HOLD
2024-08-20,221.10000610351562,11.66315457325729,279.4157789698021,197.77369695700105,HOLD
2024-08-21,223.27000427246094,11.230032363487787,279.42016608989985,200.80993954548535,HOLD
2024-08-22,210.66000366210938,11.469528199446152,268.00764465934014,187.72094726321708,HOLD
2024-08-23,220.32000732421875,11.421770764167295,277.42886114505524,197.47646579588417,HOLD
2024-08-26,213.2100067138672,11.26682771141987,269.54414527096657,190.67635129102746,HOLD
2024-08-27,209.2100067138672,11.080325363664109,264.61163353218774,187.04935598653896,HOLD
2024-08-28,205.75,10.946532824826118,260.48266412413057,183.85693435034779,HOLD
2024-08-29,206.27999877929688,10.814699465048308,260.3534961045384,184.65059984920026,HOLD
2024-08-30,214.11000061035156,10.630742571095873,267.26371346583096,192.8485154681598,HOLD
2024-09-03,210.60000610351562,10.603767402622552,263.6188431166284,189.39247129827052,HOLD
2024-09-04,219.41000366210938,10.679788420208139,272.80894576315006,198.0504268216931,HOLD
2024-09-05,230.1699981689453,11.036134890477255,285.3506726213316,208.0977283879908,HOLD
2024-09-06,210.72999572753906,11.909916239084604,270.27957692296206,186.91016324936987,HOLD
2024-09-09,216.27000427246094,11.709338755011446,274.8166980475182,192.85132676243805,HOLD
2024-09-10,226.1699981689453,11.595086086955604,284.14542860372336,202.9798259950341,HOLD
2024-09-11,228.1300048828125,11.60050040449787,286.13250690530185,204.92900407381677,HOLD
2024-09-12,229.80999755859375,11.313050382786278,286.3752494725251,207.1838967930212,HOLD
2024-09-13,230.2899932861328,10.954927184210495,285.06462920718525,208.3801389177118,HOLD
2024-09-16,226.77999877929688,10.6524508485475,280.04225302203434,205.4750970822019,HOLD
2024-09-17,227.8699951171875,10.46276617997746,280.1838260170748,206.94446275723257,HOLD
2024-09-18,227.1999969482422,10.3430275043347,278.91513446991564,206.5139419395728,HOLD
2024-09-19,243.9199981689453,10.825004364324656,298.0450199905686,222.269989440296,HOLD
2024-09-20,238.25,10.626836378748997,291.38418189374494,216.99632724250202,HOLD
2024-09-23,250.0,10.707585444852825,303.5379272242641,228.58482911029435,HOLD
2024-09-24,254.27000427246094,10.523076565784933,306.88538710138556,233.22385114089107,HOLD
2024-09-25,257.0199890136719,10.109833517868468,307.56915660301416,236.80032197793494,HOLD
2024-09-26,254.22000122070312,10.117743666723925,304.80871955432275,233.98451388725528,SL
2024-09-27,260.4599914550781,9.863825997787666,309.7791214440165,240.7323394595028,SL
2024-09-30,261.6300048828125,9.808303052798447,310.67152014680477,242.01339877721563,SL
2024-10-01,258.0199890136719,10.212962719413593,309.0848026107398,237.59406357484468,SL
2024-10-02,249.02000427246094,10.665208504390407,302.346046794413,227.68958726368012,SL
2024-10-03,240.66000366210938,10.759459358496512,294.4573004545919,219.14108494511635,SL
2024-10-04,250.0800018310547,10.726531569065472,303.71265967638203,228.62693869292374,SL
2024-10-07,240.8300018310547,10.63005322299768,293.98026794604306,219.5698953850593,SL
