date,price,atr,tp,sl,result
2024-07-08,178.69000244140625,6.518656805415338,214.5426148711906,162.3933604278679,SL
2024-07-09,177.10000610351562,6.4325719641512595,212.47915190634754,161.01857619313748,SL
2024-07-10,183.9600067138672,6.818003334066942,221.4590250512354,166.91499837869983,SL
2024-07-11,181.94000244140625,7.121347920391663,221.1074160035604,164.13663264042708,SL
2024-07-12,181.61000061035156,7.138673077287414,220.87270253543232,163.76331791713304,SL
2024-07-15,179.8300018310547,7.121778436046851,218.99978322931238,162.02555574093756,SL
2024-07-16,177.5500030517578,6.953406502550109,215.79373881578343,160.16648679538253,SL
2024-07-17,159.42999267578125,7.9696558315274775,203.26309974918237,139.50585309696257,SL
2024-07-18,155.77000427246094,8.16865634719863,200.6976141820534,135.34836340446438,SL
2024-07-19,151.5800018310547,7.908599832183608,195.07730090806453,131.80850225059567,SL
2024-07-22,155.8699951171875,7.668941225421386,198.04917185700512,136.69764205363404,SL
2024-07-23,154.0,7.294601044465,194.1203057445575,135.7634973888375,SL
2024-07-24,144.6300048828125,7.476468991856497,185.7505843380232,125.93883240317125,SL
2024-07-25,138.32000732421875,7.514755267790732,179.65116129706774,119.53311915474191,HOLD
2024-07-26,139.99000549316406,7.147603318679983,179.301823745904,122.1209971964641,SL
2024-07-29,139.75,7.041876631507897,178.48032147329343,122.14530842123025,SL
2024-07-30,138.44000244140625,7.090586843003355,177.43823007792471,120.71353533389787,HOLD
2024-07-31,144.47999572753906,7.73139067243544,187.002644425934,125.15151904645046,SL
2024-08-01,132.5399932861328,8.465533134141818,179.1004255239128,111.37616045077826,HOLD
2024-08-02,132.5,8.254722892641277,177.90097590952703,111.8631927683968,HOLD
2024-08-05,134.82000732421875,8.958143817359185,184.08979831969427,112.42464778082079,HOLD
2024-08-06,130.17999267578125,8.833225851472267,178.76273485887873,108.09692804710058,HOLD
2024-08-07,128.6699981689453,8.75929396878292,176.84611499725136,106.771763246988,HOLD
2024-08-08,136.32000732421875,8.68681651494538,184.09749815641834,114.60296603685529,HOLD
2024-08-09,134.27000427246094,8.321619944875684,180.0389139692772,113.46595441027173,HOLD
2024-08-12,136.77000427246094,8.052251920328834,181.05738983426951,116.63937447163886,HOLD
2024-08-13,141.1300048828125,7.7786906668582185,183.9128035505327,121.68327821566695,HOLD
2024-08-14,140.75,7.615989173185062,182.63794045251782,121.71002706703734,HOLD
2024-08-15,147.36000061035156,7.5856402624560975,189.0810220538601,128.39589995421133,HOLD
2024-08-16,148.55999755859375,7.331152870244229,188.881338344937,130.23211538298318,HOLD
2024-08-19,155.27999877929688,7.354835692563328,195.73159508839518,136.89290954788856,SL
2024-08-20,156.39999389648438,7.367809462328892,196.92294593929327,137.98047024066213,SL
2024-08-21,157.80999755859375,7.0879957453639015,196.79397415809518,140.090008195184,SL
2024-08-22,151.6999969482422,7.216367408980751,191.39001769763632,133.6590784257903,SL
2024-08-23,154.97999572753906,7.031350143392712,193.65242151619898,137.40162036905727,SL
2024-08-26,149.99000549316406,7.202940259619781,189.60617692107286,131.9826548441146,HOLD
2024-08-27,150.5,6.914201060994261,188.52810583546844,133.21449734751434,SL
2024-08-28,146.36000061035156,6.831293504864265,183.93211488710503,129.2817668481909,HOLD
2024-08-29,145.49000549316406,6.699113086618302,182.33512746956472,128.7422227766183,HOLD
2024-08-30,148.55999755859375,6.483503232190797,184.21926533564314,132.35123947811675,SL
2024-09-03,136.94000244140625,6.918345089053931,174.99090043120285,119.64413971877143,HOLD
2024-09-04,140.8699951171875,6.882860375547651,178.7257271826996,123.66284417831837,HOLD
2024-09-05,139.44000244140625,6.664935396910606,176.09714712441456,122.77766394912973,HOLD
2024-09-06,134.35000610351562,6.713145832433053,171.27230818189742,117.56714152243299,HOLD
2024-09-09,138.14999389648438,6.523919916487567,174.031553437166,121.84019410526545,HOLD
2024-09-10,142.83999633789062,6.473720760951065,178.44546052312148,126.65569443551297,HOLD
2024-09-11,149.86000061035156,6.688832982417444,186.6485820136475,133.13791815430795,HOLD
2024-09-12,150.77000427246094,6.486716738639709,186.44694633497932,134.55321242586166,HOLD
2024-09-13,152.30999755859375,6.186777552567815,186.33727409771672,136.8430536771742,HOLD
2024-09-16,152.0800018310547,5.9952100663145735,185.05365719578484,137.09197666526825,HOLD
2024-09-17,150.82000732421875,5.909807899465548,183.32395077127927,136.0454875755549,HOLD
2024-09-18,148.2899932861328,5.830610330122642,180.35835010180736,133.7134674608262,HOLD
2024-09-19,156.74000549316406,6.199769261243682,190.8387364300043,141.24058234005486,HOLD
2024-09-20,155.9499969482422,6.11203048674995,189.56616462536692,140.6699207313673,HOLD
2024-09-23,156.75,5.8322157540291775,188.8271866471605,142.16946061492706,HOLD
2024-09-24,158.32000732421875,5.776723509340117,190.0919866255894,143.87819855086846,HOLD
2024-09-25,162.02000427246094,5.704411081956444,193.39426522322137,147.75897656756982,HOLD
2024-09-26,167.49000549316406,5.773022468600586,199.2416290704673,153.0574493216626,HOLD
2024-09-27,164.35000610351562,5.716820917888363,195.7925211519016,150.0579538087947,HOLD
2024-09-30,164.0800018310547,5.514716231582222,194.41094110475692,150.29321125209913,HOLD
2024-10-01,159.75,5.644202225472035,190.7931122400962,145.63949443631992,HOLD
2024-10-02,159.77999877929688,5.557138334410868,190.34425961855666,145.8871529432697,HOLD
2024-10-03,162.85000610351562,5.688527441996093,194.13690703449413,148.6286874985254,HOLD
2024-10-04,170.89999389648438,5.879983527521788,203.2399032978542,156.2000350776799,SL
2024-10-07,170.97000122070312,5.759612852183733,202.64787190771364,156.57096909024378,SL
