date,price,atr,tp,sl,result
2024-07-08,226.75953674316406,4.918434843366552,246.43327611663025,216.92266705643098,HOLD
2024-07-09,227.61550903320312,4.715899912852476,246.47910868461304,218.18370920749817,HOLD
2024-07-10,231.89549255371094,4.681302839577932,250.62070391202266,222.53288687455506,SL
2024-07-11,226.51071166992188,4.930111678841167,246.23115838528653,216.65048831223956,SL
2024-07-12,229.4668426513672,4.941385071393472,249.2323829369411,219.58407250858022,SL
2024-07-15,233.3088836669922,5.103789912844687,253.72404331837095,223.1013038413028,SL
2024-07-16,233.7269287109375,4.994535399130177,253.70507030745821,223.73785791267713,SL
2024-07-17,227.81459045410156,5.279441227019245,248.93235536217855,217.25570800006307,SL
2024-07-18,223.13644409179688,5.532818560563372,245.26771833405036,212.07080697067013,HOLD
2024-07-19,223.26585388183594,5.355655790394054,244.68847704341215,212.55454230104783,HOLD
2024-07-22,222.91749572753906,5.296571885059759,244.1037832677781,212.32435195741954,SL
2024-07-23,223.9626007080078,5.207082134053975,244.79092924422372,213.54843643989986,SL
2024-07-24,217.522705078125,5.427477117280787,239.23261354724818,206.66775084356343,SL
2024-07-25,216.4776153564453,5.491368369740085,238.44308883540566,205.49487861696514,SL
2024-07-26,216.94541931152344,5.3257487790105795,238.24841442756576,206.29392175350227,SL
2024-07-29,217.22412109375,5.180834567042508,237.94745936192004,206.86245195966498,SL
2024-07-30,217.781494140625,5.101501467363948,238.1875000100808,207.5784912058971,SL
2024-07-31,221.04623413085938,5.093174735969545,241.41893307473757,210.8598846589203,SL
2024-08-01,217.3435516357422,5.276902718876434,238.45116251124793,206.78974619798933,SL
2024-08-02,218.83657836914062,5.478393831697618,240.7501536959311,207.8797907057454,SL
2024-08-05,208.29586791992188,6.89766466036564,235.88652656138444,194.50053859919058,HOLD
2024-08-06,206.26535034179688,7.050579600934587,234.4676687455352,192.1641911399277,HOLD
2024-08-07,208.8433074951172,7.0632958089582205,237.09649073095005,194.71671587720076,HOLD
2024-08-08,212.3170623779297,6.932106201254001,240.0454871829457,198.45284997542169,HOLD
2024-08-09,215.23342895507812,6.769178331928055,242.31014228279034,201.695072291222,HOLD
2024-08-12,216.76803588867188,6.5518991975804814,242.97563267899378,203.6642374935109,HOLD
2024-08-13,220.49493408203125,6.385666792537767,246.03760125218233,207.7236004969557,HOLD
2024-08-14,220.943359375,6.155546744544982,245.56554635317994,208.63226588591002,HOLD
2024-08-15,223.93284606933594,5.96580089711151,247.796049657782,212.00124427511292,HOLD
2024-08-16,225.25819396972656,5.757411408825861,248.28783960503003,213.74337115207484,HOLD
2024-08-19,225.0987548828125,5.5525569043226755,247.3089825001032,213.99364107416716,HOLD
2024-08-20,225.71656799316406,5.268245515819182,246.78955005644082,215.18007696152569,HOLD
2024-08-21,225.60696411132812,5.094756152500881,245.98598872133164,215.41745180632637,HOLD
2024-08-22,223.74351501464844,5.045360047204893,243.92495520346802,213.65279492023865,HOLD
2024-08-23,226.04541015625,4.959409773617357,245.88304925071944,216.12659060901527,SL
2024-08-26,226.3842315673828,4.84338838276767,245.7577850984535,216.69745480184747,SL
2024-08-27,227.2312469482422,4.777683169736153,246.3419796271868,217.6758806087699,SL
2024-08-28,225.69664001464844,4.732924197683278,244.62833680538157,216.23079161928186,SL
2024-08-29,228.98507690429688,4.855126219575657,248.4055817825995,219.27482446514557,SL
2024-08-30,228.19786071777344,4.713381469534834,247.05138659591276,218.7710977787038,SL
2024-09-03,221.9896697998047,4.93814861879292,241.74226427497638,212.11337256221884,HOLD
2024-09-04,220.076416015625,4.962367705799137,239.92588683882153,210.15168060402672,HOLD
2024-09-05,221.60104370117188,4.937068327095445,241.34931700955366,211.72690704698098,HOLD
2024-09-06,220.0465087890625,4.974311504695237,239.94375480784345,210.09788577967203,HOLD
2024-09-09,220.13619995117188,4.943153231670412,239.9088128778535,210.24989348783106,HOLD
2024-09-10,219.3389892578125,4.9279765576095755,239.0508954882508,209.48303614259333,HOLD
2024-09-11,221.88006591796875,4.946320526177723,241.66534802267967,211.9874248656133,HOLD
2024-09-12,221.9896697998047,4.857540761373708,241.41983284529954,212.27458827705726,HOLD
2024-09-13,221.7206268310547,4.660188450378631,240.3613806325692,212.40024993029743,HOLD
2024-09-16,215.56228637695312,4.940659858657591,235.3249258115835,205.68096665963793,HOLD
2024-09-17,216.03062438964844,4.756982818172507,235.05855566233848,206.5166587533034,HOLD
2024-09-18,219.91696166992188,4.839239993109486,239.27392164235982,210.2384816837029,HOLD
2024-09-19,228.06829833984375,5.145741377342141,248.65126384921234,217.77681558515945,HOLD
2024-09-20,227.40065002441406,5.167687288401112,248.07139917801848,217.06527544761184,HOLD
2024-09-23,225.67672729492188,5.056938571160675,245.90448157956456,215.56285015260053,HOLD
2024-09-24,226.5735626220703,4.95276850176336,246.38463662912375,216.6680256185436,HOLD
2024-09-25,225.57705688476562,4.836799056106768,244.9242531091927,215.90345877255209,HOLD
2024-09-26,226.72303771972656,4.710599754677186,245.56543673843532,217.30183821037218,HOLD
2024-09-27,226.99209594726562,4.53128078627857,245.11721909237988,217.92953437470848,HOLD
2024-09-30,232.18385314941406,4.578669603882081,250.49853156494243,223.02651394164988,SL
2024-10-01,225.41763305664062,4.912118593233698,245.0661074295754,215.59339587017325,HOLD
2024-10-02,225.98562622070312,4.870718590384437,245.46850058224086,216.24418903993427,HOLD
2024-10-03,224.87950134277344,4.7708643739776555,243.96295883868407,215.33777259481812,HOLD
2024-10-04,226.0055694580078,4.705330404626358,244.82689107651325,216.59490864875508,HOLD
